retro_game_id,game_type,game_type_des,st_fl,regseason_fl,playoff_fl,local_game_time,game_id,home_team_id,home_team_lg,away_team_id,away_team_lg,home_team_name,away_team_name,home_team_name_full,away_team_name_full,interleague_fl,park_id,park_name,park_loc
OAK201909030,R,Regular Season,F,T,F,19:07,566153,oak,AL,ana,AL,Oakland,LA Angels,Oakland Athletics,Los Angeles Angels,F,10,Oakland Coliseum,"Oakland, CA"
TBA201909030,R,Regular Season,F,T,F,15:10,566733,tba,AL,bal,AL,Tampa Bay,Baltimore,Tampa Bay Rays,Baltimore Orioles,F,12,Tropicana Field,"St. Petersburg, FL"
TBA201909031,R,Regular Season,F,T,F,3:33,566734,tba,AL,bal,AL,Tampa Bay,Baltimore,Tampa Bay Rays,Baltimore Orioles,F,12,Tropicana Field,"St. Petersburg, FL"
CLE201909030,R,Regular Season,F,T,F,19:10,565385,cle,AL,cha,AL,Cleveland,Chi White Sox,Cleveland Indians,Chicago White Sox,F,5,Progressive Field,"Cleveland, OH"
LAN201909030,R,Regular Season,F,T,F,19:10,565870,lan,NL,col,NL,LA Dodgers,Colorado,Los Angeles Dodgers,Colorado Rockies,F,22,Dodger Stadium,"Los Angeles, CA"
KCA201909030,R,Regular Season,F,T,F,19:15,565772,kca,AL,det,AL,Kansas City,Detroit,Kansas City Royals,Detroit Tigers,F,7,Kauffman Stadium,"Kansas City, MO"
MIL201909030,R,Regular Season,F,T,F,18:40,567621,mil,NL,hou,AL,Milwaukee,Houston,Milwaukee Brewers,Houston Astros,T,32,Miller Park,"Milwaukee, WI"
PIT201909030,R,Regular Season,F,T,F,19:05,566246,pit,NL,mia,NL,Pittsburgh,Miami,Pittsburgh Pirates,Miami Marlins,F,31,PNC Park,"Pittsburgh, PA"
BOS201909030,R,Regular Season,F,T,F,19:10,565095,bos,AL,min,AL,Boston,Minnesota,Boston Red Sox,Minnesota Twins,F,3,Fenway Park,"Boston, MA"
WAS201909030,R,Regular Season,F,T,F,19:05,565964,was,NL,nyn,NL,Washington,NY Mets,Washington Nationals,New York Mets,F,3309,Nationals Park,"Washington, DC"
CIN201909030,R,Regular Season,F,T,F,18:40,565289,cin,NL,phi,NL,Cincinnati,Philadelphia,Cincinnati Reds,Philadelphia Phillies,F,2602,Great American Ball Park,"Cincinnati, OH"
ARI201909030,R,Regular Season,F,T,F,18:40,564900,ari,NL,sdn,NL,Arizona,San Diego,Arizona Diamondbacks,San Diego Padres,F,15,Chase Field,"Phoenix, AZ"
CHN201909030,R,Regular Season,F,T,F,19:05,565194,chn,NL,sea,AL,Chi Cubs,Seattle,Chicago Cubs,Seattle Mariners,T,17,Wrigley Field,"Chicago, IL"
SLN201909030,R,Regular Season,F,T,F,18:45,566636,sln,NL,sfn,NL,St. Louis,San Francisco,St. Louis Cardinals,San Francisco Giants,F,2889,Busch Stadium,"St. Louis, MO"
NYA201909030,R,Regular Season,F,T,F,18:35,567529,nya,AL,tex,AL,NY Yankees,Texas,New York Yankees,Texas Rangers,F,3313,Yankee Stadium,"Bronx, NY"
ATL201909030,R,Regular Season,F,T,F,19:20,567237,atl,NL,tor,AL,Atlanta,Toronto,Atlanta Braves,Toronto Blue Jays,T,4705,SunTrust Park,"Atlanta, GA"
