retro_game_id,id,first,last,position,name
TEX201909260,427044,CB,Bucknor,home,CB Bucknor
TEX201909260,504381,Will,Little,first,Will Little
TEX201909260,427090,Fieldin,Culbreth,second,Fieldin Culbreth
TEX201909260,596805,John,Libka,third,John Libka
PIT201909260,427224,Ed,Hickox,home,Ed Hickox
PIT201909260,547380,Carlos,Torres,first,Carlos Torres
PIT201909260,427129,Bruce,Dreckman,second,Bruce Dreckman
PIT201909260,427361,Paul,Nauert,third,Paul Nauert
CHA201909260,428442,James,Hoye,home,James Hoye
CHA201909260,575629,Shane,Livensparger,first,Shane Livensparger
CHA201909260,427366,Brian,O'Nora,second,Brian O'Nora
CHA201909260,483919,Mark,Ripperger,third,Mark Ripperger
SFN201909260,605673,Alex,Tosi,home,Alex Tosi
SFN201909260,427058,Gary,Cederstrom,first,Gary Cederstrom
SFN201909260,482641,Adrian,Johnson,second,Adrian Johnson
SFN201909260,429805,Todd,Tichenor,third,Todd Tichenor
ANA201909260,482663,David,Rackley,home,David Rackley
ANA201909260,521251,Ben,May,first,Ben May
ANA201909260,427520,Larry,Vanover,second,Larry Vanover
ANA201909260,427315,Alfonso,Marquez,third,Alfonso Marquez
SDN201909260,427192,Brian,Gorman,home,Brian Gorman
SDN201909260,521051,Nick,Mahrley,first,Nick Mahrley
SDN201909260,427053,Mark,Carlson,second,Mark Carlson
SDN201909260,503586,Tripp,Gibson,third,Tripp Gibson
NYN201909260,427081,Eric,Cooper,home,Eric Cooper
NYN201909260,427538,Joe,West,first,Joe West
NYN201909260,490319,Jordan,Baker,second,Jordan Baker
NYN201909260,605672,Jeremie,Rehak,third,Jeremie Rehak
CIN201909260,427139,Doug,Eddings,home,Doug Eddings
CIN201909260,482620,Chris,Conroy,first,Chris Conroy
CIN201909260,489985,Chad,Whitson,second,Chad Whitson
CIN201909260,427344,Bill,Miller,third,Bill Miller
DET201909260,427362,Jeff,Nelson,home,Jeff Nelson
DET201909260,427113,Laz,Diaz,first,Laz Diaz
DET201909260,427413,Tony,Randazzo,second,Tony Randazzo
DET201909260,594151,Ramon,Jesus,third,Ramon De Jesus
SEA201909260,427220,Angel,Hernandez,home,Angel Hernandez
SEA201909260,431232,Chad,Fairchild,first,Chad Fairchild
SEA201909260,503502,Ryan,Blakney,second,Ryan Blakney
SEA201909260,427243,Marvin,Hudson,third,Marvin Hudson
WAS201909260,483569,Vic,Carapazza,home,Vic Carapazza
WAS201909260,484198,Alan,Porter,first,Alan Porter
WAS201909260,521889,Stu,Scheurwater,second,Stu Scheurwater
WAS201909260,427533,Mark,Wegner,third,Mark Wegner
